Definitions of codes used in the 2017 HAR formset,,
,,
code,label,definition
,Other Payers: ,"This category is for the payers that are not already identified in the breakouts for Non-Managed Care, Managed Care, and Individual (Self Pay). This would include Champus, Workman's Comp., Auto, etc. for each of the respective sections:  Adjustments, Charges, Days, and Admissions. Please note that Commercial and Private payers are not reported on the Other Payers lines. This category also includes small balance write offs, staff courtesy discounts, and prompt pay discounts."
0751,Other Payers: Adjustments and Uncollectibles,
0847,Other Payers: Patient Charges,
4026,Other Payers: Patient Days,
4344,Other Payers: Admissions,
,,
NPI,National Provider Identifier," Enter the NPI number assigned by CMS for the Acute Care hospital.
See http://www.cms.hhs.gov/NationalProvIdentStand/ for more information."
,,
7567,Bad Debt Write Offs,The amount of actual write offs for bad debt. Please break out actual bad debt write offs from insured (7568) and uninsured (7569) patients. Amounts in these categories will be used to estimate the insured and uninsured portions of (#8100) Provision for Bad Debts.
,,
7570,Self Pay Discount Percentage Applied,This is a non-public item. The percentage applied to self pay patient charges based on AG agreement to apply discount of most favored payer.
,,
7575,Average Partial Charity Care Discount Applied,What is the average partial discount applied to Uninsured Patients who qualify for a partial charity care discount under your hospital’s Charity Care Policy. Include self pay discounts in this calculation that are included in your hospital’s Charity Care Policy.
,,
7310,Community Care,"The cost for medical care that a hospital has determined is charity care as defined under Minnesota Rules, part 4650.0115, or for which the hospital determines after billing for the services that there is a demonstrated inability to pay. Any costs forgiven under a hospital's community care or charity care plan or under Minnesota Statutes, section 62J.83 may be counted in the hospital's calculation of “community care.”  “Community care” does not include bad debt expenses and discounted charges available to the uninsured.  

For the purposes of reporting under section 21, “community care” will be charity care (0762) adjusted by a cost to charge ratio.  This field is a calculated field, no user input is necessary."
,,
7577,Underpayment for Services Provided under State Health Care Programs,"Underpayments for Services Provided under State Health Care Programs:  Estimates of payment shortfalls for services provided under the following State Health Care Programs, where state government directly sets payment rates: Medicaid, PMAP, and MinnesotaCare.  

For the purposes of reporting under section 21, “underpayments for services provided under State Health Care Programs” are calculated by subtracting payments for State Health Care Programs (the sum of patient charges and contractual adjustments) from the product of patient charges for State Health Care Programs and the cost-to-charge ratio.  This field is a calculated field, no user input is necessary."
,,
7578,Cost of Operating Subsidized Services,"Cost of Operating Subsidized Services: The cost associated with providing hospital patient services that are operated at a significant financial loss.  Only include such services that meet all of the following criteria: a) exhibit negative margins even after the effects of charity or community care (7310) and Medicaid shortfalls (7577) have been removed; b) represent an actual community benefit; c) if discontinued at the facility, would be unavailable in the area or fall to the responsibility of other providers or government agencies.  Do not include potential payment shortfalls associated with care for Medicare patients."
,,
7579,Education Cost,"The cost of operating professional education and training programs and providing financial assistance to physicians, medical students, nurses, nursing students, and other health professionals.  Only include Medicare Indirect Medical Education (IME) payments if the Medicare IME reimbursements are included as offsets.  Do not include costs associated with providing continuing medical education (CME), financial assistance or tuition reimbursements that are offered as employee benefits, or the as cost of required education or employee orientation programs."
,,
7580,Research Cost,"The cost of conducting research that is intended for the public domain and falls in one of the following three areas: clinical research, community health research, and research on innovative health care delivery."
,,
7581,Community Health Services Cost,"The total cost of activities to improve community health in the following areas:
1) Providing community health education, including classes, support groups and self-help programs.
2) Offering community-based clinic services and mobile units that are outside of the primary business activities of the facility.
3) Providing health care support services in the form of enrollment assistance, information and referral.

 Do not include the cost of activities whose primary purpose is marketing or directly associated with hospital patient care or discharge planning. "
,,
7582,Financial and In-Kind Contributions,"The total of value of cash and in-kind contributions made by the facility to health care organization and community groups to improve the health of the community.  In-kind contributions include goods and services donated or provided for an activity without compensation.  Do not count volunteer contributions by employees or emergency funds provided to employees.  Also, do not include the cost of promotional and marketing activities."
,,
7583,Cost of Community Building Activities,"The value of programs and activities that, while not directly related to health care, are designed to address root causes of health problems in the community.  Programs and activities may include physical improvements to the neighborhood and housing stock, investments in economic development, support of the operational structure of communities and community networks, environmental improvements, and advocacy for health improvements.  Do not include the value of activities that are undertaken primarily for marketing purposes.  Also, do not include investments in facility construction and improvement and the cost of routine financial investments."
,,
7584,Cost of Community Benefit Operations,"The overhead cost associated with operating a community benefit program.  This may include the cost associated with maintaining dedicated community benefit staff, conducting community benefit and community asset assessments, and designing a community benefit strategy.  Do not count the cost of staff to coordinate in-house volunteer programs, including outpatient volunteer programs.  Do not count the cost of conducting market share and marketing analyses."
,,
7576,Purchased Charity Care Services,"Purchased Charity Care Services consist of medical services from physicians, home health agencies, pharmacies, nursing homes, etc. purchased by a hospital to help charity care patients avoid additional, more expensive inpatient hospital services related to chronic disease management for diagnosis such as chronic heart failure, diabetes, chronic obstructive pulmonary disease, etc. Purchased charity care is also used for completion of episodic treatment such as orthopedic implant patient follow on care involving nursing home stays for therapy or home health agency services for home therapy needed for complete care."
,,
7594,Major Capital Expenditure Commitments,"“Major spending commitment” means an expenditure in excess of $1,000,000 for:
     (1) acquisition of a unit of medical equipment;
     (2) a capital expenditure for a single project for the
     purposes of providing health care services, other 
     than for the acquisition of medical equipment;
     (3) offering a new specialized service not 
     offered before;
     (4) planning for an activity that would qualify as a 
     major spending commitment under this 
     paragraph; or
     (5) a project involving a combination of two or 
     more of the activities in clauses (1) to (4).

The cost of acquisition of medical equipment, and the 
amount of a capital expenditure, is the total cost to the
provider regardless of whether the cost is distributed over
time through a lease arrangement or other financing or 
payment mechanism.
"
,,
return to formset,Date of Spending Commitment,The date the project was authorized by an Executive or Board of Directors
,,
return to section 57,Medical Equipment,Medical Equipment means fixed and movable equipment that is used by a provider in the provision of a health care service. 
,,
,New Specialized Service,New Specialized Service means a specialized health care procedure or treatment regimen offered by a provider that was not previously offered by the provider.
,,
,Specialty Care,"Specialty Care includes but is not limited to cardiac, neurology, orthopedic, obstetrics, mental health, chemical dependency, and emergency services."
,,
Return to Project Specific tab,Exceptions,"Capital Expenditure Retrospective Review reporting requirements do not apply to the following capital activities:

  1) a major spending commitment made by a research and teaching institution for purposes of conducting medical education, medical research supported or sponsored by a medical school, or by a federal or foundation grant or clinical trials;

  2) a major spending commitment for building maintenance including heating, water, electricity, and other maintenance-related expenditures; and

  3) a major spending commitment for activities, not directly related to the delivery of patient care services, including food service, laundry, housekeeping, and other service-related activities.

  4) mergers, acquisitions, and other changes in ownership or control that, in the judgment of the commissioner, do not involve a substantial expansion of service capacity or a substantial change in the nature of health care services provided."
